Transaction ID,Customer ID,Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Account Age (days),Transaction Hour,is_fraud
TR1000,1102,1739.7357554963323,Credit Card,Electronics,8,55,0,142,10,0
TR1001,1435,1015.555485866301,Debit Card,Clothing,4,69,0,301,9,0
TR1002,1860,4039.7021994865117,Debit Card,Electronics,9,44,0,309,0,0
TR1003,1270,278.7719511309314,PayPal,Clothing,4,31,1,151,9,0
TR1004,1106,357.667593473703,Credit Card,Clothing,5,25,0,173,19,1
TR1005,1071,2208.2035024808915,Credit Card,Home & Kitchen,6,24,0,123,16,1
TR1006,1700,1270.2471915689393,Debit Card,Books,9,41,0,284,15,0
TR1007,1020,3729.807543400032,PayPal,Electronics,9,33,1,185,8,0
TR1008,1614,3174.6084838367433,Bank Transfer,Electronics,8,18,0,231,21,1
TR1009,1121,3864.948632671891,Bank Transfer,Clothing,2,59,0,149,16,0
TR1010,1466,1630.1479921256273,PayPal,Books,1,29,0,174,14,0
TR1011,1214,3705.1895086931586,PayPal,Home & Kitchen,2,58,1,129,20,0
TR1012,1330,4312.893147771731,Bank Transfer,Clothing,6,27,0,49,4,0
TR1013,1458,1732.9197271486728,Debit Card,Books,7,59,1,84,9,1
TR1014,1087,1706.0801475975486,Credit Card,Electronics,6,52,1,55,9,1
TR1015,1372,4500.757505493067,Bank Transfer,Home & Kitchen,1,51,1,58,2,1
TR1016,1099,258.4533634066686,PayPal,Home & Kitchen,1,26,0,149,2,0
TR1017,1871,1757.4451345969132,PayPal,Clothing,1,66,1,51,3,0
TR1018,1663,602.1757354383024,Credit Card,Clothing,1,39,1,58,21,0
TR1019,1130,154.61314534738142,PayPal,Home & Kitchen,1,54,1,154,12,1
TR1020,1661,573.2183940576424,Debit Card,Electronics,2,29,1,141,9,1
TR1021,1308,2161.916497989582,PayPal,Electronics,2,53,0,342,4,1
TR1022,1769,3437.9107854466756,Credit Card,Home & Kitchen,4,59,0,127,1,0
TR1023,1343,1453.519297965395,Bank Transfer,Clothing,3,49,1,233,9,0
TR1024,1491,4249.879783931612,Debit Card,Clothing,4,34,1,157,14,0
TR1025,1413,2193.7019874043667,PayPal,Electronics,5,19,1,285,1,0
TR1026,1805,4841.457974299101,Credit Card,Books,4,48,1,132,8,1
TR1027,1385,4771.236790524063,Bank Transfer,Books,3,37,0,115,13,0
TR1028,1191,3868.648351107407,Bank Transfer,Books,3,55,1,295,7,1
TR1029,1955,4662.703425771625,Credit Card,Electronics,4,22,0,111,6,0
TR1030,1276,3538.4094200439467,Bank Transfer,Home & Kitchen,6,25,0,30,10,1
TR1031,1160,4478.960118055995,Bank Transfer,Books,7,33,1,247,4,0
